Metric,QQQ,SPY
Annual Return,0.22931919653903515,0.16730344661240298
Annual Volatility,0.2491370507766897,0.20359166556608962
Maximum Drawdown,-0.35118722027537946,-0.33717258279330087
Sharpe Ratio,0.9204540064359276,0.8217598011549897
