Date,Close,High,Low,Open,Volume,Ticker,Daily Return,Cumulative Return,MA50,MA200,Peak,Drawdown
2020-01-02,72.3338851928711,72.39409318664748,71.09119131937346,71.34406195339083,135480400,AAPL,,,,,72.3338851928711,0.0
2020-01-03,71.63063049316406,72.3892495107853,71.40665858931894,71.56319785492231,146322800,AAPL,-0.009722341027747494,-0.009722341027747494,,,72.3338851928711,-0.009722341027747545
2020-01-06,72.201416015625,72.23995000976231,70.50355369984423,70.75402098693286,118387200,AAPL,0.007968455931927076,-0.0018313571418552277,,,72.3338851928711,-0.0018313571418551331
2020-01-07,71.86186218261719,72.46634548952974,71.64270418623039,72.2110641639823,108872000,AAPL,-0.0047028694414293915,-0.006525613949745823,,,72.3338851928711,-0.006525613949745737
2020-01-08,73.01783752441406,73.31887745373415,71.56562119935828,71.56562119935828,132079200,AAPL,0.016086075516096088,0.009455490047565851,,,73.01783752441406,0.0
2020-01-09,74.56880187988281,74.76146451044018,73.74275001069596,73.99320996049889,170108400,AAPL,0.02124089685551378,0.030897229991898367,,,74.56880187988281,0.0
2020-01-10,74.73735809326172,75.30091119032697,74.23643098983341,74.80238740809561,140644800,AAPL,0.002260411983692867,0.03322748244452778,,,74.73735809326172,0.0
2020-01-13,76.33409881591797,76.36059415429726,74.93486566437117,75.05287832688332,121532000,AAPL,0.021364693152034375,0.05530207056320413,,,76.33409881591797,0.0
2020-01-14,75.30333709716797,76.48100893453174,75.18051779267843,76.27148630079421,161954400,AAPL,-0.01350329321678001,0.04105201727211405,,,76.33409881591797,-0.013503293216780008
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600,AAPL,-0.004285543930953928,0.03659054311768628,,,76.33409881591797,-0.017730968191440846
2020-01-16,75.91983795166016,76.0306259059178,75.16121901504614,75.52246682768192,108829200,AAPL,0.012526124710771303,0.049575005534784555,,,76.33409881591797,-0.005426943799478334
2020-01-17,76.76036834716797,76.76277166888072,75.86206254796348,76.16791647174253,137816400,AAPL,0.0110712880610071,0.06119515276269327,,,76.76036834716797,0.0
2020-01-21,76.24016571044922,76.83019952815127,76.10288974668396,76.3894803308505,110843200,AAPL,-0.00677696900001834,0.05400346610945084,,,76.76036834716797,-0.006776969000018388
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,AAPL,0.0035696162224752026,0.057765853980620285,,,76.76036834716797,-0.003231543956024842
2020-01-23,76.88077545166016,76.96024675038308,76.01859307367198,76.56528622859716,104472000,AAPL,0.0048157164563586985,0.06285975441060909,,,76.88077545166016,0.0
2020-01-24,76.65921020507812,77.86818383448923,76.46895092458591,77.12642473209515,146537600,AAPL,-0.002881933035669526,0.059796663772089476,,,76.88077545166016,-0.0028819330356695404
2020-01-27,74.40502166748047,75.08416206919466,73.42483402812097,74.67234156024762,161940000,AAPL,-0.029405319094304105,0.028633004698792375,,,76.88077545166016,-0.03220250796945137
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,AAPL,0.028289403188851203,0.057732418502076,,,76.88077545166016,-0.004824094512240202
2020-01-29,78.11143493652344,78.95675744540253,77.39857441186852,78.13793027321145,216229200,AAPL,0.02093245069829841,0.0798733502043627,,,78.11143493652344,0.0
2020-01-30,77.99822235107422,78.0512056603916,76.7651642610764,77.19625539826748,126743200,AAPL,-0.0014493727524174105,0.07830821119451481,,,78.11143493652344,-0.001449372752417363
2020-01-31,74.53988647460938,77.71163859900423,74.24607125177067,77.29018275843434,199588400,AAPL,-0.04433864993613168,0.030497480895104845,,,78.11143493652344,-0.04572375945745267
2020-02-03,74.33518981933594,75.4984048922783,72.78423148900761,73.28515870612867,173788400,AAPL,-0.002746135860337895,0.027667594808830964,,,78.11143493652344,-0.048344331662274954
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,AAPL,0.03301358415692812,0.061594585435400306,,,78.11143493652344,-0.01692676716718977
2020-02-05,77.41545104980469,78.21260439944355,76.81337103650588,77.91396771511286,118826800,AAPL,0.008154658327208075,0.07025152656164013,,,78.11143493652344,-0.008910140842814308
2020-02-06,78.32096862792969,78.32337929968051,77.12885469909907,77.68517600247516,105425600,AAPL,0.011696858519140374,0.0827701072477256,,,78.32096862792969,0.0
2020-02-07,77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000,AAPL,-0.013592759412278888,0.06805227368109978,,,78.32096862792969,-0.013592759412278926
2020-02-10,77.62329864501953,77.62329864501953,75.7644959675757,75.84415588740227,109348800,AAPL,0.004749486650746926,0.07312497369724813,,,78.32096862792969,-0.008907831390907534
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,AAPL,-0.006033373890003246,0.06665040950023271,,,78.32096862792969,-0.014887461003580278
2020-02-12,78.98725128173828,78.99207670101356,77.60400616945556,77.60400616945556,113730400,AAPL,0.023748088571616144,0.09198131789999486,,,78.98725128173828,0.0
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,AAPL,-0.00712120920887116,0.08420509048305025,,,78.98725128173828,-0.007121209208871192
2020-02-14,78.4440689086914,78.69271421468866,77.93712009409066,78.3933688702963,80113600,AAPL,0.0002461259244437297,0.084471941463232,,,78.98725128173828,-0.00687683599862726
2020-02-18,77.00770568847656,77.18875828805763,75.94794093607852,76.12899353565957,152531200,AAPL,-0.018310666952867538,0.06461453692336905,,,78.98725128173828,-0.025061583497834498
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,AAPL,0.014483005688580963,0.08003335531777611,,,78.98725128173828,-0.010941544865617433
2020-02-20,77.32154846191406,78.37165530100644,76.81701596336808,77.8840228178166,100566000,AAPL,-0.010258952889326545,0.06895334400666986,,,78.98725128173828,-0.021088248961631185
2020-02-21,75.57138061523438,77.3577728316972,74.9558044913532,76.91600019658557,129554000,AAPL,-0.02263493012613116,0.044757659756984536,,,78.98725128173828,-0.04324584804603335
